id;depth;comment;read_cnt;good_cnt;created_at;created_by
1;85353;Arkansas purple;49097;34837;2022-07-13T08:05:12;18766
2;70527;Senior Refined fault-tolerant;78523;72468;2022-07-13T23:18:08;81803
3;92665;Borders COM;34737;46591;2022-07-13T12:21:35;19093
4;17060;Manager indigo synthesize;72171;45053;2022-07-13T14:27:38;12573
5;34252;Tanzanian application morph;35410;42834;2022-07-14T00:12:08;71499
6;25432;e-business Garden;86442;97824;2022-07-13T10:06:31;94002
7;80166;Human;77661;67258;2022-07-13T13:35:28;3346
8;99032;Senior Creek;65567;42260;2022-07-13T11:56:13;860
9;64603;Chicken;44757;69961;2022-07-13T14:42:20;13448
10;19528;Liaison bleeding-edge;22036;74840;2022-07-14T03:33:59;17398
